Time,LSTM_Pred,Time in state
2/18/2026 22:54,CYCLESTART,00:03.0
2/18/2026 22:54,IDLE,00:09.0
2/18/2026 22:55,CYCLESTART,00:09.0
2/18/2026 22:55,IDLE,01:20.0
2/18/2026 22:56,CYCLESTART,00:02.0
2/18/2026 22:56,IDLE,00:04.0
2/18/2026 22:56,CYCLESTART,00:03.1
2/18/2026 22:56,IDLE,00:04.0
2/18/2026 22:56,CYCLESTART,00:04.0
2/18/2026 22:56,IDLE,00:50.5
2/18/2026 22:57,CYCLESTART,02:31.0
2/18/2026 23:00,INCYCLE,00:15.5
2/18/2026 23:00,CYCLESTART,00:14.0
2/18/2026 23:00,IDLE,00:23.0
2/18/2026 23:01,CYCLESTART,00:01.0
2/18/2026 23:01,IDLE,00:05.0
2/18/2026 23:01,CYCLESTART,00:03.0
2/18/2026 23:01,IDLE,00:03.0
2/18/2026 23:01,CYCLESTART,00:06.0
2/18/2026 23:01,IDLE,00:02.0
2/18/2026 23:01,CYCLESTART,00:02.0
2/18/2026 23:01,IDLE,00:19.0
2/18/2026 23:01,CYCLESTART,00:27.0
2/18/2026 23:02,IDLE,00:01.0
2/18/2026 23:02,CYCLESTART,00:02.0
2/18/2026 23:02,IDLE,00:04.0
2/18/2026 23:02,CYCLESTART,00:02.0
2/18/2026 23:02,IDLE,00:39.5
2/18/2026 23:02,CYCLESTART,00:26.0
2/18/2026 23:03,IDLE,00:01.0
2/18/2026 23:03,CYCLESTART,00:02.0
2/18/2026 23:03,IDLE,00:19.0
2/18/2026 23:03,CYCLESTART,00:03.0
